535;571;-2;
532;575;-3;
535;578;3;
532;572;-3;
532;574;0;
530;572;-2;
528;572;-2;
531;572;3;
535;568;4;
536;565;1;
537;567;1;
540;564;3;
423;571;-117;
377;574;-46;
383;578;6;
385;575;2;
386;573;1;
385;576;-1;
387;578;2;
383;580;-4;
390;573;7;
393;571;3;
394;571;1;
395;574;1;
397;576;2;
393;572;-4;
391;569;-2;
394;572;3;
400;568;6;
393;571;-7;
397;573;4;
397;568;0;
457;564;60;
555;561;98;
571;563;16;
565;560;-6;
562;560;-3;
557;560;-5;
553;561;-4;
547;561;-6;
573;564;26;
571;563;-2;
569;565;-2;
560;566;-9;
563;564;3;
559;563;-4;
558;566;-1;
546;563;-12;
552;564;6;
496;568;-56;
397;581;-99;
360;581;-37;
382;574;22;
384;578;2;
386;574;2;
394;572;8;
393;571;-1;
396;570;3;
393;569;-3;
397;572;4;
399;571;2;
400;570;1;
399;567;-1;
399;563;0;
398;566;-1;
400;566;2;
399;566;-1;
488;554;89;
504;549;16;
508;551;4;
509;550;1;
505;551;-4;
477;545;-28;
466;546;-11;
545;546;79;
562;544;17;
565;546;3;
564;545;-1;
567;544;3;
562;544;-5;
560;544;-2;
561;542;1;
563;547;2;
564;544;1;
563;542;-1;
347;549;-216;
339;561;-8;
394;560;55;
376;559;-18;
384;555;8;
389;559;5;
394;556;5;
404;557;10;
405;553;1;
421;556;16;
442;539;21;
445;535;3;
450;523;5;
452;531;2;
454;539;2;
454;540;0;
62;525;-392;
386;567;324;
413;571;27;
429;579;16;
432;568;3;
205;582;-227;
261;552;56;
339;576;78;
375;582;36;
386;592;11;
389;577;3;
392;550;3;
377;559;-15;
395;573;18;
562;536;167;
529;547;-33;
535;545;6;
527;541;-8;
526;536;-1;
521;536;-5;
518;540;-3;
348;530;-170;
378;563;30;
393;544;15;
401;548;8;
406;524;5;
401;541;-5;
402;563;1;
387;544;-15;
390;568;3;
493;512;103;
529;519;36;
551;528;22;
521;519;-30;
536;530;15;
542;541;6;
538;532;-4;
539;542;1;
377;577;-162;
376;581;-1;
393;557;17;
392;564;-1;
404;577;12;
416;581;12;
437;593;21;
443;605;6;
578;582;135;
485;561;-93;
620;552;135;
622;560;2;
610;576;-12;
607;563;-3;
616;541;9;
613;534;-3;
617;500;4;
618;488;1;
637;484;19;
434;494;-203;
474;492;40;
477;493;3;
472;488;-5;
479;478;7;
477;473;-2;
471;475;-6;
470;480;-1;
556;467;86;
613;448;57;
612;448;-1;
605;447;-7;
602;454;-3;
595;454;-7;
592;450;-3;
599;451;7;
608;461;9;
385;454;-223;
437;464;52;
459;457;22;
455;459;-4;
465;467;10;
460;472;-5;
462;467;2;
467;465;5;
607;469;140;
525;470;-82;
619;460;94;
612;462;-7;
609;466;-3;
604;444;-5;
602;456;-2;
598;455;-4;
590;463;-8;
388;451;-202;
421;471;33;
435;462;14;
436;454;1;
433;466;-3;
438;462;5;
439;461;1;
437;468;-2;
441;458;4;
569;482;128;
562;486;-7;
603;467;41;
606;470;3;
605;475;-1;
596;482;-9;
594;476;-2;
590;494;-4;
568;488;-22;
461;473;-107;
443;488;-18;
446;494;3;
452;496;6;
448;501;-4;
451;499;3;
447;482;-4;
554;496;107;
360;457;-194;
527;521;167;
521;521;-6;
516;525;-5;
507;531;-9;
505;531;-2;
513;525;8;
502;518;-11;
680;533;178;
663;524;-17;
651;522;-12;
455;507;-196;
508;507;53;
516;504;8;
663;519;147;
655;519;-8;
654;516;-1;
488;501;-166;
454;508;-34;
456;509;2;
641;508;185;
584;511;-57;
506;505;-78;
402;508;-104;
428;507;26;
685;512;257;
658;512;-27;
650;515;-8;
381;511;-269;
401;510;20;
490;515;89;
670;506;180;
654;509;-16;
